video,frame_count,width,height,question,answer,qid,type
3224556776,486,640,480,what did the boy do after playing with the baby for a while,playing with sofa,6,TN
2622708989,675,640,480,what is the man with hat doing as the dog runs around,dog rubbed something from man,1,TC
7748596700,304,640,352,how did the lady show that she was concerned about the child cycling down,stands near the slope,2,CH
4924158260,2017,640,480,why did the man bend his body halfway,play game,6,CW
6289873183,1621,272,480,why did the pregnant lady point to the brown leaves hanging when she tries to introduce to the children,show them spider web,4,CW
5654616479,876,640,480,how did the man with the gun reacted when the man with checkered shirt threw a bullet at him,turned around to dodge,9,TC
5065103129,1236,640,480,why are there people lining up at the top of the waterfall,prepare for jumping,5,CW
8013531249,502,640,360,what happens to the structure after the boy in yellow turns it on,starts moving,5,TN
3261412202,779,640,480,why did the boy put his hand on the white door at the start,get support,6,CW
2513208116,2697,640,480,what does the man in light brown do after the man in black cap hits the ball at the start,put golf ball on floor,6,TN
5708341874,908,640,480,why did the girl walk towards the dispenser,she wanted to play,2,CW
5362074546,531,640,480,why are there tracks on the snow,snowmobile routes,2,CW
11584732354,2430,640,360,what did the woman in blue do to the dog before unleash the dog,talk to dog,1,TP
4284211659,1069,640,480,why does the child walk over to the sofa,climb sofa,0,CW
11961400954,1202,640,360,what did the lady in grey hold in her hands,phone,8,DO
7407609118,1050,640,480,why is the baby wearing shoes in the room,just came back home,4,CW
10516079413,1608,640,1138,what does the baby do after putting his circle toy down at the start,take the doll,7,TN
8207664482,1626,640,360,why did the baby move her hands up and down,play with the toy,0,CW
5012762688,683,640,480,what do the birds react when another birds come on the net bag,fly away,2,TC
2767650256,1377,640,480,why does the man with red basket bend near the net,capture the fish,4,CW
5357351052,477,640,480,why does the lady constantly look at the girl while dancing,trying engage girl,1,CW
13517946454,3643,640,480,what did the man in black do before he spoke,smiling,5,TP
3179374776,1862,640,480,why does the man tilt the yogurt cup after scooping,little yogurt left,0,CW
3676488640,2430,480,640,how did the baby show that she is bored,hit the table,1,TC
6478865241,2697,640,360,what did the girl in white do after she kneeled up on the chair at the beginning of the video,move arm in air,11,TN
10440439946,1190,640,1128,where is this video taken,playground,0,DL
2478396375,1050,640,480,what did the girl do to make the baby excited,cover him with the blanket,2,TC
4904919958,2697,640,480,why are the men holding the flag and standing watching men fighting,representative,3,CW
5841926063,831,640,358,why is the horse running slower and slower in the ring,tired,6,CW
2580553233,837,480,360,where is he singing,room,9,DL
6896601567,1212,640,480,are they the only dogs present,yes,7,DB
7535060272,628,640,1138,what did the boy do before lying on the bed at the end,get on to bed,5,TP
2449977205,612,640,480,what is the lady in black doing on the beach,surfing,5,TC
4437974380,608,640,480,how many people are involved in the video,two,6,DC
5157086254,498,640,480,what does the lady in blue do after the girl in pink reaches out her legs in the middle,stretch her feet,7,TN
5452090232,1081,640,360,why does the woman bend towards one side in between,keep balance,4,CW
3148635011,1300,640,480,where is this happening,room,9,DL
7931679102,1708,640,360,is there a baby in the baby stroller,yes,5,DB
5588927672,2166,640,1138,why does the man stop juggling after a while near the beginning,drop items,6,CW
3281490756,511,640,480,why is there snow covered the ground,winter,5,CW
3921366924,491,320,240,what are the men wearing,thick clothes,3,DO
10592146095,778,640,360,why do the children constantly step on the bubble wrap,playing,0,CW
3469347353,2158,320,240,why did the baby stare downwards after sucking her hand in the beginning,look at the dog,2,CW
2869457864,1063,500,375,where is this happening,in the house,8,DL
6188920051,1387,640,480,how can you tell that the woman is talking,mouth moving,1,CH
4021064662,570,640,480,what did the boy in red hat do after catching the ball,run towards man in red,2,TN
5386700793,1335,640,360,is the dog domesticated or wild,domesticated,0,DB
7966428674,881,640,480,where are the birds present,grassland,9,DL
4446415775,779,640,480,why are the two people cycling on the road,smooth road,3,CW
12226111246,442,640,480,how did the people ensured that their faces and eyes are warm,mask and sunglasses,3,DO
9223935720,1004,640,480,what does the girl do after kneeling down in front of the tv at the start,play around the tv set,3,TN
10755524486,1373,640,1138,who went up the staircase first,the girl,9,DO
3472706332,1075,640,360,how does the man guide the dog at the end of the video,carry dog through hoop,4,CH
12864348785,1246,640,360,why are they moving their body as they sing,excited about singing,6,CW
5296198015,2697,640,480,is this a wedding,yes,1,DB
11276891496,1054,640,360,why did the lady with short hair kneel in front of a pope,part of ceremony,0,CW
3093627135,1252,640,480,how did the girl in polka dots react when the girl in pink is removing the paper,remove the paper too,2,TC
4894877618,781,640,480,are the mozart drivers in a race,yes,5,DB
2551446323,909,500,375,why does the man puts his finger in the beak of bird,feed the bird,2,CW
7585333734,1436,640,480,what instrument is being played in the video,yes,3,DB
3199291548,720,640,480,what did the machines do when the man released them on the floor,move forwards,6,TC
3525082926,1036,640,360,what did the man do as he walked back to get another ball,shake his head,2,TC
4909803121,343,640,360,why was the skateboard moving,girl at back was pushing,7,CW
7211819836,763,640,360,why are there a group of people sitting there seen at the end of the video,posing,1,CW
5471598600,1260,640,480,what did the lady in white hoodie do after the lady in puffy jacket turned back,continue walking,8,TN
3055520900,1026,500,375,are the cats domesticated or wild,domesticated,4,DB
6878273952,905,640,480,how did the boy move around in the video,using the baby walker,5,CH
6440155903,765,640,360,why is the girl sitting infront of the lady on the board,slide together,1,CW
8375283091,1689,640,360,is the baby learning how to ride a tricycle or proficient at riding it,learning,1,DB
4845474028,1230,640,480,what are the puppies doing in this video,resting,8,TC
3397265196,2158,320,240,why is the color of lighting changing as the man in spectacles speaks,part of stage setup,9,CW
4220014569,2499,640,360,where is this video taken,dining table,7,DL
4204053300,451,640,480,does the boy in checkered know how to tear off the wrapper,no,7,DB
2783505892,2697,320,240,what does the girl do after listening to the lady for a while,walks to the boy,7,TN
6110761249,1802,640,480,what was the lady doing as the boy and baby played with the toy at the beginning of the video,take photos,5,TC
3924742603,1464,640,360,how does the couple feel as they walked down side by side together,happy,6,TC
8212773822,1461,640,360,what did the dog do when the girl fell,smell the girl,8,TC
6783533553,1168,272,480,what performance is occuring,street performance,0,DO
2918932774,898,320,240,are the people performing on stage,yes,1,DB
5154656564,722,640,360,what does the man in black do after moving back to the rostrum,change slides,5,TN
6068292020,2697,640,480,why is the man in black suit looking at a book,reading,1,CW
5630988927,2024,640,480,why did the boy in brown hug the tree after throwing the ball over,standing in his position,11,CW
7576222264,1329,640,360,why is the woman holding the baby while sitting on the sand,supporting baby,0,CW
7565587532,1708,640,360,why is the black dog wagging its tail,excited to eat,1,CW
4710412048,1247,640,360,where are they dancing,carpark,10,DL
2949998126,903,384,288,why did the lady with light blue shirt squint her eyes near the end of the video,make face,4,CW
3052870588,2697,640,480,why did the boy bend down in the middle of the video,pick up the bicycle,8,CW
6622915663,540,640,360,how did the people protect their heads from injury,wearing helmet,4,DO
3574384655,2250,640,480,what did the horse do after it slowed down for a while in the middle of the video,rides again,9,TN
8697708107,408,640,480,how does the person entice the cat with the food,move the bowl of food around,7,TC
6779291688,2697,640,480,why did the ball fly out of the table,hit too hard,2,CW
2403134475,683,640,480,how many people are in the video,four,2,DC
6908276603,809,640,480,why did the lady looked at the camera and moved her mouth,talk,10,CW
6912784558,524,640,360,what does the boy do with the mickey toy at the end,throw it down,1,TC
5994972300,1399,640,360,how do the dogs react when the man gets close to them,wag their tails,2,TC
3828553144,909,640,480,how did the man hit the ball when it comes near him,swing bat,8,CH
4458207675,816,640,360,how did the dogs move themselves to the van,walking,5,CH
13004616293,1274,640,360,how do the man and lady make the flag work for the desirable position,pull the string,2,DO
2685836225,932,500,375,how does the girl manage to get on to the chair at the end,climb on the chair,8,CH
7001369162,691,640,360,how many children are there,three,9,DC
9662978367,879,640,360,what does the boy hold onto while pedalling,handles of bicycle,4,TC
5808252980,1090,640,480,how does the baby engage with the book,flip the pages,6,CH
5208873554,2254,640,480,how is the boy restrained on the bicycle,baby seat,5,CH
6279359447,478,640,362,where is this happening,road,10,DL
6027450794,2697,640,480,why do the dogs chew on the grey things,think it is food,0,CW
5937853314,589,640,1138,what did the baby pull after the middle of the video to play,lady s hair,6,TN
12080008545,1482,640,360,how many people are involved in the video,four,10,DC
4254574573,975,640,360,are the mouths in the phones real or fake,fake,3,DB
2442932012,2697,500,375,is the baby panda having fun playing with the orange toy,yes,2,DB
5392281760,1948,320,240,why does the man break the food into tiny pieces,easier to eat for cat,4,CW
8670554760,332,640,360,what does the player in front of the goal do as the player in brown approaches at the start,moves left and right,4,TC
5435149690,2250,640,480,what does the person holding the beer bottle do after raising it for a while at the start,lowers it,5,TN
9026085228,672,640,424,how do the birds hover over the water feeder,flapping their wings,2,CH
12641085274,1495,640,480,how did the men move closer towards their target,walk slowly and crounched down,9,CH
2408552613,2697,500,333,why do the people engage in this activity,recreation,5,CW
11176411044,1846,640,480,how did the woman showed her affection for the baby,rub the baby s head,4,CH
4657443720,1242,640,480,why does the woman shake the baby s leg at the end of the video,trying to get baby s attention,2,CW
3564576864,855,640,480,why did the woman in long sleeves hold on to a cup while talking to the other people at the table,drinking,2,CW
3359322044,908,320,240,what did the man in blue do as he talked to the camera in the beginning of the video,walk forward,6,TC
6217597005,1333,640,360,what is the peacock nibbling on in the middle of the video,grass,4,DO
6446785503,2616,640,360,why did the girl cover her foreheads from the beginning of the video,bright sun,0,CW
3754789709,398,320,240,how did the man at the back carry things,on his back,1,CH
2520519565,899,176,144,why are two men on the ship wearing shades,sunny,1,CW
2568324599,1287,640,480,why did one of the men cover his face with a cloth,his face was cold,4,CW
5680168187,1194,640,480,why did the man on the boat suddenly got up from lying position when the man in sea is playing a prank,realise man behind him,3,CW
2966811190,1048,500,375,how did the person in black gear up for the activity,wear helmet and safety pads,6,CH
12212440674,435,640,360,how many kids are there,two,8,DC
4061202144,2697,640,360,what did the baby do after being fed the first few times,soit food out,5,TN
2733852923,466,640,480,why do the two men standing behind on the sand lift their hands above their heads,holding something for shade,2,CW
5916232981,515,272,480,where is this place,their house,8,DL
8760033230,1980,640,360,what did the lady in white do after she turned around to face those behind,play guitar,7,TN
6442711009,1554,640,360,are the brown and black dogs playing or fighting,fighting,0,DB
2591438838,1442,500,375,what does the baby do after feeding himself using the spoon at the start,look behind him,6,TN
5078580976,742,320,240,why did the boy in blue squat down to the floor in the middle of the video,pick up the bottle,0,CW
3720290162,2526,640,480,how many beer cans were taken by both boys,two,10,DC
7769546330,2160,604,1072,why does the baby go towards the door at the start,to look inside,4,CW
4766353463,409,640,480,where is this place,train station,6,DL
4648608582,2285,640,480,why is there a light shinning around the house around the cat,attract the cat,0,CW
7625772278,670,640,360,why do the people look down while walking,careful of the rocks,5,CW
4645880882,1515,640,360,what is the girl sitting next to the boy in white doing as the he is wearing the hat,move his legs,4,CW
9181873351,931,640,1128,why was the kid in yellow hiding inside the green bag,playing,1,CW
6380588875,2098,640,360,where did the boy in blue point towards,kitchen,4,DL
8106418518,2160,640,360,what does the woman in black do after sitting for a while at the start,look at the lady in red,4,TN
7619429394,1283,640,360,how did the girl move the big horse around,use rope,0,CH
5277922081,1678,640,480,why is the lady smiling,happy,5,CW
5621615066,1709,640,360,why is the man moving his hands as he walked to the other side of the stage,hand gesture,9,CW
5065103129,1236,640,480,while does the man stand at the rock,prepare for jumping,0,DO
5630978721,659,640,360,why is the man holding a bottle,feed baby with milk,1,CW
4825249972,926,640,360,where is this video taken,house,9,DL
7390605748,714,640,360,what is the relationship between the lady and the baby,parent offspring,5,DO
4992749220,1230,640,480,what activity is being carried out,feeding medicine,5,TC
10521491465,1735,640,360,what is the panda on the grass in front of the stonewall doing,smelling and eating leaves,7,TC
7933516656,1080,640,360,what does the bear do after entering in the water for a while,move its body,5,TN
2624654090,1069,320,240,how did the man knew which key on the guitar to play,follow the screen,0,CH
6242913804,2697,640,480,why did the woman point at the train tracks on the table beside the baby near the table,get him to play,0,CW
4983786005,2697,352,288,why was the boy on the floor in the middle,fell down,5,CW
10433303123,445,640,360,where is this video taken,swimming pool,4,DL
8026457212,1962,640,480,where is this video taken,living room,6,DL
6859121305,1429,640,360,why did the man in grey and lady in bikini shake hands after playing the round,show sportmanship,5,CW
3594948402,1109,640,480,why was the man s hands moving up and down,moving the baby,7,CW
3597467356,1138,640,362,why is the boy in white sitting inside the water,playing,0,CW
5459684550,1272,640,480,why does the man look down at the start,look at guitar,0,CW
4648608582,2285,640,480,what color is the sofa,red,2,DO
10387715274,525,640,360,where is this video taken,stadium,4,DL
4740033681,701,640,360,how does the boy in red drink the drinks,suck using straw,0,CH
3240787472,716,640,480,how does the baby touch the lady s hair,grab using hands,6,CH
6878273952,905,640,480,why does the baby lean backwards in the middle of the video,move back,2,CW
7455021774,1890,640,362,why is the baby holding onto the toy when she is resting on the sofa,playing with it,0,CW
3273928480,1536,640,480,why did the dog approach the ice at the side at the end of the video,sniffing,9,CW
9989968153,807,640,360,how did the lady get the dog to follow her,dog is trained,7,CH
4857066914,1356,640,480,what did the person in black standing do after the man in white finished his performance,clap,0,TN
3860597566,480,640,480,how did the man wearing green shirt record the man in black when he is ready to take the video,bend his legs slowly,9,CH
5867905141,650,640,480,what did the girl do after she turned one round near the middle,move to her left,2,TN
5319843668,1417,640,360,what is the relationship between the boy and the girl,siblings,7,DO
8718405167,513,640,360,how does the lady in green react after the lady in grey sit down,laugh,7,TN
5649162069,773,640,480,how many people are involved in the video,two,9,DC
6220387865,901,568,320,why does the man in white look at the man when he is stuffing the marshmallows in his mouth,observing,2,CW
8128188117,510,320,240,why was the baby moving up and down at the start,man shake the toy,5,CW
4283455837,853,640,360,is the man in black and gold being serious or funny when reading the book,funny,4,DB
5362074546,531,640,480,how were the tracks on the snow created,snowmobile dig through,6,CH
3964794227,795,640,480,why did the baby walk away at the end,does nt want to go in pool,9,CW
10087471526,1054,640,360,why does the boy in yellow pants keep twisting his body after he turns around,bury his feet in the sand,1,CW
2869614883,786,640,480,what does the girl in blue do after sliding down at the start,jump up snd down,10,TN
4501146951,1747,640,360,what did the boy in white do after the boy in grey first ran off,run off,6,TN
4756284442,2085,640,480,How does the man in white place the cup at the end of the video,place back into the box,5,CW
10011555465,801,640,360,why did the men poke the knife at each other,fencing,0,CW
3420639395,451,320,240,what did the woman do after she surfed back to shore at the middle of the video,stand up,4,TN
4699202703,1152,640,424,why does the boy smile at the end of the video,happy to take photo,5,CW
3065148567,382,640,480,why did the lady in red look up and smile forward when she looked up,greeting,3,CW
4474236062,837,320,240,what kind of footwear is the lady wearing,sandals,6,DO
2498105674,1392,320,240,what did all four men in the water do after all of them have jumped into the water,swim around,4,TN
5368363137,1320,640,360,what is the relationship between the man and the boy,parent offspring,5,DO
3414991682,2697,640,480,why does the man in green place the spiral shells on the wire mesh,cook,8,CW
7499375636,1600,640,360,why did the man with black and green helmet turned the motorcycle to his left in the middle of the video,get onto main road,10,CW
4976006471,2661,320,240,why did the lady beside the lady in pink do after she tilted her head back,touch face,0,TN
3239624537,926,640,480,why did the girl in pink turn to her right and smile as she rode down,look at camera,9,CW
6323697951,1390,640,360,what did the brown dog do when the man grabbed his mouth,move away,7,TC
9142677586,1211,640,362,how is the baby feeling at the start,happy,1,TC
3616966959,636,640,480,what is the colour of the top part of the microphone,blue,9,DO
8624212542,2325,640,360,why did the penguin in brown head spread its arms out when he shouts into the air,trying to stretch its body,0,CW
7363189682,1008,640,360,is the man rollerblading new or proficient at rollerblading,proficient,4,DB
4960594555,2276,640,480,where is this video taken,mountain,6,DL
6565022935,1667,640,360,why is the little boy behind the curtain at the beginning of the video,hiding,0,CW
5144319075,1198,568,320,how did the shirtless boy support the baby as the baby walked,hold baby s hands,6,CH
2400074985,2280,320,240,why did the woman raise her hands after she stopped spinning herself,to stretch her body,5,CW
5757232720,2697,640,480,what did the girl do when she was near the window,look outside,11,TC
3246597004,900,640,480,why does the lady hold on to the baby while being in the water,keep baby afloat,0,CW
4227122551,756,320,240,why is there a christmas tree behind the back of boy,it s christmas,4,CW
5659032762,1382,480,640,how many people are there in the video,four,5,DC
2970068527,1125,640,480,what does the lady do when the boy shows foam to her near the end,blow it,7,TC
6812027210,632,640,360,is the baby able to make meaningful conversation at this age,no,3,DB
3537017298,963,640,480,why is the baby sitting on the special chair,leverage the height,0,CW
8038697746,1800,640,480,what does the man in blue do after he has finished talking at the end,clap,8,TN
9577659959,1126,640,360,how did the man in red react after the man in sunglasses walked off,look at him,3,TN
4247712487,2016,640,360,why is the lady in short hair walking across the table in betweem,find her seat to sit,0,CW
7980036093,796,640,360,how did the people see which notes they are stepping on,follow notes on computer,2,CH
5698397924,413,640,426,why does the person in white put the weight onto the rack after carrying it,take a break,4,CW
5306491665,594,640,480,how many children are in the room,three,6,DC
5991628432,548,320,568,where is this happening,living room,7,DL
11961400954,1202,640,360,what did the lady wearing the pink hat do after pointing to her right,talk to girl on her left,9,TN
6430774273,2697,640,360,why does the woman wipe across the baby s face after placing the boy next to him at the beginning,make baby look presentable,2,CW
3326899385,840,640,480,what is the relationship between the girl and the baby,siblings,0,DO
5884064019,1034,480,640,who is palying the toy drum with two sticks,a boy,10,DO
3110922783,1566,640,480,what is the man with blue hat doing as he stood in his car,take picture of the lions,2,TC
10294103914,1035,640,360,why does the man in spectacles point at the food before seasoning it,introducing the food,11,CW
5085607670,1830,640,360,why does the girl in red occasionally turn to her left to stare while dancing,to see the moves,9,CW
4694642543,1695,640,360,why are there ladies positioned in the middle of the mat where the students are rolling,safety,4,CW
8710602306,2370,640,360,why did the people sitting on stage look attentively at the man holding the microphone,listening to him,0,CW
5761415508,1369,568,320,what does the man do after the cat bend its neck backwards near the end,shake its paw,8,TN
11688108404,431,640,1138,where are the people hanging out,the beach,9,DL
6502526601,1740,640,360,what does the boy in red do at the start while the two other children are behind him,moves the string on the jacket,0,TC
4932801175,666,640,480,why is the horse running in the field,on a ride,5,CW
3962139149,1433,640,480,what did the man with spectacles do after the blocks are all knocked down,drink beer,10,TN
10717276603,2028,640,360,what does the boy do as the adult follows him behind,walk around the store,3,TC
8481787117,720,640,360,what are the children playing with on the street,toys,4,DO
2776753352,1104,500,375,how did the man in navy open the coconuts,use stick hit open,4,CH
8850274965,5395,640,360,why did the guy sitting down with the tie touch his blazer,adjust his outfit,4,CW
5200348592,979,640,360,how did the person feel after taking a bite of the sushi,happy,2,TN
4598213889,855,640,360,what does the baby on the right do after playing with the water bottle for a while at the start of the video,faces the lady,6,TN
3952639306,1591,640,360,why does the person in green hit his hands together after pointing to his fingers,show a trick,3,CW
6127822568,1864,640,360,why does the child s face become dirty after eating the ice cream,ice cream on face,4,CW
4164158586,1078,480,360,why is everyone standing around the table in the kitchen,celebrate girl s birthday,2,CW
2904483441,1601,640,480,why did the lady in grey bend forward in the beginning of the video,put funnel down,0,CW
6478865241,2697,640,360,what did the girl in green do after she left her chair at the end of the video,go to girl in white,8,TN
5308844630,1755,640,360,what did the lady in purple do after the dog ignore her bag of food,offer something on her hand,6,TN
12396268245,2896,640,480,what is the relationship between the man and the baby,parent offspring,3,DO
10271616853,684,640,360,why did the nearest pig decide to move away after digging for sometimes,can not find food,1,CW
4760962392,2697,640,480,why did the girl in white dress jump up and down after tasting the chocolate on the cake,likes chocolate,2,CW
2857624971,780,320,240,is the scene near the surface or deep in the ocean,deep in the ocean,0,DB
8802047883,1351,640,360,how does the dog feel about meeting the girl,happy wagging tail,5,DO
8715893813,891,640,480,why is the littlel girl standing a distance away from all the dogs,scared at dog,3,CW
4341718462,1183,320,240,how does the boy in yellow transport himself,cycle,4,CH
2399809077,2697,480,360,how did the girl carry her backpack,over her right shoulder,0,TC
8671680638,312,640,360,did the lady take anything when she left the sofa,no,3,DB
5192910012,810,640,480,how does the boy change the direction of the toy car at the start of the video,push the steering wheel,1,CH
5386700793,1335,640,360,was the dog wearing a leash when walking,yes,4,DB
2687160943,1565,320,240,how did the lady moved the girl away from the chair,pick the baby up,3,CH
5827678428,827,640,360,is the man in red geared in safety equipment,yes,4,DB
4164158586,1078,480,360,how did the lady in white help the girl in green to reach a comfortable level to reach the cake,bend her down,9,CH
8588257424,2070,640,360,how many people are there on the stage,three,6,DO
4783216249,2459,640,360,what did the girl do initially when the man approached her,cover her mouth,0,TC
10211516755,1053,640,360,what does the girl do after scooping some food at the start,eat it,7,TN
2985381764,2258,500,375,why does the man with the red tie move away from the microphone after he speaks,let the next person speak,1,CW
2530259622,477,640,480,why does one of the kids put her hand on the other kid standing,prevent herself from falling down,1,CW
10356090554,603,640,360,was the grey shirt man helping to fold the clothes,no,4,DB
5312674396,388,640,480,how does the man position his knees as he was slowing down,bend the knees toward each other,7,DO
2776803136,813,500,281,how do you think the woman who appeared at the start is related to the boy in red,parent offspring,5,DO
4794597968,1986,480,640,where is this video taken,living room,6,DL
5323579442,1370,640,480,why did the boy bend down beside the sofa in the middle of the video,to keep something in bag,2,CW
8736356323,1263,640,360,why did the men turn to face each other halfway through the performance,smile at each other,9,CW
6514699133,975,640,360,what is the colour of the car in the video,maroon,2,DO
5561454050,720,640,1138,what did the baby do after the toy fell down,leans on the ground,7,TN
11585702034,1320,640,360,what is the role of the lady in pink,judge,6,DO
6183695214,676,320,240,why is the man in yellow moving his arms in the beginning of the video,guide the vehicle,7,CW
4443349080,1550,640,360,how does the boy react when the ball bounces off the fence back at him,kneel down to pick it,6,TC
8267897544,930,640,360,how did the audience showed that they were enjoying the performance,keeps looking at the stage,2,CH
10111267264,1451,640,360,why are the children standing and playing the violin,practicing together,0,CW
7413414484,695,640,480,why are the boys waiting in the middle of the room,to be near the camera,4,CW
2781566727,1268,320,240,why is the man in white wearing shades,protect from sun,2,CW
